accX,accY,accZ,gyroX,gyroY,gyroZ
-3.390,2.375,11.189,-1.014,-0.116,-0.473
-6.809,-1.633,10.222,-0.982,-1.561,1.005
-1.547,-3.677,9.351,-0.760,-0.655,2.093
5.564,2.097,12.013,-2.794,1.106,3.497
6.292,3.251,14.335,0.860,0.718,-0.847
5.018,1.470,10.169,2.250,0.070,-2.630
0.364,-2.931,10.418,2.135,-1.503,-3.696
-4.180,-4.913,10.366,0.846,-1.110,-2.510
-7.135,-5.741,10.787,0.164,-0.556,-1.558
-5.430,-5.052,10.653,-0.047,0.307,2.482
0.321,-3.357,9.600,-0.767,0.773,3.603
6.076,1.202,13.493,-2.096,0.595,3.617
8.135,5.100,15.657,0.062,0.247,-0.049
5.248,2.040,11.989,1.272,0.529,-1.672
0.450,-2.907,10.730,2.000,-0.231,-3.733
-3.879,-5.411,9.465,2.377,-1.498,-2.695
-7.029,-4.271,9.331,1.246,-1.828,-1.377
-4.108,-4.573,11.951,-0.732,0.464,2.292
0.967,-3.831,10.835,-2.431,1.837,4.635
5.191,0.493,13.540,-2.739,1.630,4.289
8.260,5.282,14.771,-0.366,-0.292,0.948
6.503,1.815,13.397,1.508,0.294,-3.121
0.527,-5.191,12.295,2.085,-0.029,-4.199
-4.721,-6.656,12.157,1.303,-1.864,-3.203
-8.112,-6.273,9.944,0.255,0.377,0.010
-4.568,-4.496,10.529,-0.344,0.381,1.997
2.921,-0.608,12.415,-0.570,0.789,4.284
5.914,4.817,11.754,-0.376,1.163,2.610
2.959,4.535,10.093,0.538,0.453,-0.907
-2.715,0.905,9.125,1.598,-0.383,-0.910
