accX,accY,accZ,gyroX,gyroY,gyroZ
-5.090,2.954,10.452,0.177,1.601,0.032
-3.285,2.203,9.609,-0.631,0.243,-0.847
-0.048,4.760,11.510,-0.572,-1.280,-1.414
0.824,1.810,12.501,-0.014,-0.643,-2.066
-2.404,-5.607,10.715,1.728,-1.380,-3.855
-6.483,-5.545,8.613,0.100,0.103,-0.332
-4.879,-4.990,9.968,-0.496,-0.297,1.517
0.546,-3.385,10.854,-2.268,0.985,4.207
6.579,2.619,15.010,-1.508,0.025,3.042
8.677,6.565,14.201,0.012,0.255,1.101
4.980,2.456,12.027,1.562,0.197,-3.042
-0.206,-4.152,10.720,2.061,-0.892,-4.225
-6.359,-6.785,9.700,2.548,-1.407,-3.912
-5.492,-5.703,9.796,-0.088,-0.079,0.739
-1.130,-4.204,10.466,-0.829,0.802,3.769
3.831,-1.839,12.425,-1.935,1.188,4.587
9.409,6.120,16.136,-1.611,0.505,2.940
7.839,5.737,12.841,0.409,0.520,0.145
4.271,0.249,11.242,1.841,-0.200,-3.541
-3.414,-5.981,9.863,1.871,-1.573,-3.944
-7.475,-8.332,8.963,1.587,-1.301,-2.283
-4.836,-4.563,9.944,0.087,0.166,1.931
0.072,-3.601,11.520,-1.548,1.259,3.889
5.622,0.766,14.019,-1.541,0.979,3.959
8.629,7.609,13.358,0.076,0.682,0.996
3.850,2.054,11.817,1.718,-0.007,-2.893
-2.011,-2.164,8.412,3.061,-1.242,-3.538
-5.368,-3.903,9.571,0.644,-0.630,-2.835
-7.269,-4.199,9.370,0.113,-0.764,0.506
-3.361,-2.404,10.361,-0.440,0.054,2.402
