accX,accY,accZ,gyroX,gyroY,gyroZ
-8.126,10.223,9.020,0.655,0.925,0.537
-7.336,10.405,-0.806,1.100,-1.066,0.727
-1.882,10.013,-6.226,0.724,2.544,1.831
0.503,7.628,5.256,-0.573,4.318,0.851
1.087,6.316,11.812,-0.101,2.889,0.541
-3.692,7.958,14.474,0.250,-1.681,0.432
0.761,8.566,2.417,0.356,-4.291,-1.078
-9.400,12.378,0.612,-0.754,-3.054,-0.634
-7.441,12.076,-7.490,0.202,-1.950,-0.471
-6.182,9.955,-6.150,-0.616,1.959,0.499
-4.597,9.720,-6.164,0.888,4.616,0.401
-6.876,9.864,11.941,-0.712,5.575,0.620
-0.804,7.939,15.575,-0.117,3.407,0.862
2.404,5.339,10.873,0.540,-0.811,0.548
0.627,7.264,5.132,-0.507,-3.477,-0.898
-2.978,10.089,2.522,0.084,-3.508,-0.357
-2.954,11.358,-6.054,0.000,-2.797,-0.374
-1.499,11.181,-12.537,0.098,1.269,-0.022
-3.385,9.582,0.099,-0.216,2.955,0.332
-2.480,9.534,3.576,0.300,3.304,0.505
-0.532,9.471,8.656,0.249,2.775,0.370
1.537,7.470,13.684,-0.284,1.001,0.447
-0.024,7.254,8.551,0.516,-2.502,-0.366
-6.273,11.329,2.656,-0.227,-3.778,-0.577
-5.899,10.506,-5.388,0.029,-3.989,-0.258
-1.556,10.089,-13.011,0.951,-0.764,0.095
-5.430,10.247,-7.529,-1.236,2.531,-0.160
-5.416,10.171,0.875,-0.274,3.569,0.421
-2.016,8.384,10.155,-0.431,4.045,0.764
1.092,7.570,13.646,-0.189,0.963,0.233
