accX,accY,accZ,gyroX,gyroY,gyroZ
-3.093,11.784,1.612,0.107,-1.191,-0.158
-0.244,10.951,0.765,0.574,1.014,0.323
-4.745,7.657,7.359,-0.742,0.607,-0.238
-7.705,7.982,9.935,-0.068,-0.103,0.406
-2.940,8.078,7.105,1.026,0.540,0.606
-0.895,7.503,4.011,1.146,1.280,1.033
10.831,9.270,-5.546,0.929,0.795,0.823
5.167,8.183,-3.171,-0.741,1.398,-1.413
-1.532,8.404,-2.687,-0.504,0.736,-1.464
-11.847,7.374,5.103,-0.682,0.931,-1.343
-10.688,9.735,4.931,-0.631,0.098,0.545
-8.035,9.486,2.891,0.324,1.184,1.318
4.836,9.050,3.810,0.744,2.524,1.872
12.421,8.878,0.612,0.299,-0.272,0.571
7.173,8.724,-0.399,-0.352,-0.262,-0.785
-0.417,8.705,-0.686,-0.820,-0.581,-1.490
-17.449,9.500,8.096,-1.250,-0.378,-1.832
-9.625,7.173,5.472,-0.127,-0.226,0.540
-3.524,8.552,3.446,0.524,0.970,0.782
4.281,12.076,0.138,0.343,0.246,1.089
12.100,7.360,1.349,-0.386,-0.052,0.915
3.606,8.284,2.230,-0.654,-0.478,-1.344
-2.318,7.365,-3.387,1.231,0.899,-0.466
-11.708,8.102,0.798,0.076,1.026,-1.221
-7.977,7.001,5.620,0.221,-1.171,0.855
-4.501,9.136,-0.250,1.366,-0.655,1.041
2.658,11.598,-4.454,1.512,-0.071,1.788
11.617,6.110,1.646,-1.139,-0.695,0.799
8.088,6.507,0.684,0.910,0.954,-0.537
2.035,7.379,0.291,-0.910,-1.309,-1.970
