accX,accY,accZ,gyroX,gyroY,gyroZ
-2.753,0.666,9.896,0.026,-0.019,-0.013
-0.991,-0.575,11.635,-1.470,0.254,-1.133
0.555,-0.809,9.073,0.091,-2.509,-0.650
2.332,-0.685,9.896,-0.251,-2.331,-0.867
3.203,-1.326,21.092,-0.630,1.530,-0.531
1.513,-0.982,0.377,2.476,-0.776,0.459
-0.177,-0.057,0.516,1.168,-0.121,1.039
-0.129,-0.038,0.674,1.107,0.050,1.039
-0.158,-0.019,0.727,1.026,0.299,1.060
-0.139,-0.005,0.818,0.924,0.434,1.072
-1.796,0.795,7.751,-0.079,-0.467,-0.033
-0.134,0.273,10.619,-0.002,-0.017,-0.006
-0.196,0.225,10.347,0.006,-0.023,-0.018
-0.177,0.235,10.294,-0.007,-0.027,-0.017
-0.211,0.249,10.294,0.002,-0.020,-0.013
-0.187,0.206,10.337,0.007,-0.013,-0.017
-0.182,0.206,10.332,0.010,-0.017,-0.007
-0.168,0.211,10.313,0.000,-0.021,-0.017
-0.196,0.192,10.351,0.007,-0.032,-0.014
-0.201,0.182,10.275,0.017,-0.022,-0.017
-0.206,0.168,10.351,0.015,-0.019,-0.006
-0.230,0.177,10.380,0.010,-0.028,-0.015
-0.196,0.192,10.313,0.010,-0.019,-0.025
-0.211,0.177,10.361,0.015,-0.018,-0.011
-0.206,0.187,10.351,0.006,-0.014,-0.015
-0.182,0.163,10.332,0.010,-0.023,0.001
-0.196,0.177,10.337,0.016,-0.021,-0.012
-0.211,0.168,10.313,0.019,-0.025,-0.010
-0.206,0.172,10.356,0.011,-0.025,-0.009
-0.211,0.196,10.303,0.016,-0.021,-0.017
