accX,accY,accZ,gyroX,gyroY,gyroZ
-1.954,1.733,8.379,,,
-1.317,-0.010,12.458,-1.652,-1.343,0.408
0.632,-1.508,9.815,0.393,-0.068,-0.296
0.445,0.000,9.456,-0.019,0.370,0.216
-2.016,0.541,23.304,-0.437,-0.758,-0.265
-0.192,-0.043,0.535,1.432,2.343,0.963
-0.225,-0.043,0.636,1.256,2.403,1.087
-0.201,-0.005,0.722,0.874,2.407,1.264
-12.656,11.832,1.205,-9.878,-14.002,-10.049
-0.512,0.886,3.595,-3.303,-3.426,2.361
0.105,0.124,10.806,-0.040,-0.231,-0.010
-0.057,-0.014,10.241,0.019,-0.015,-0.006
-0.067,-0.043,10.385,0.026,-0.018,-0.017
-0.148,-0.038,10.280,0.018,-0.007,-0.001
-0.172,0.048,10.404,0.003,-0.023,-0.015
-0.120,-0.057,10.342,0.002,-0.034,-0.005
-0.134,-0.048,10.366,-0.003,-0.028,-0.013
0.019,0.129,10.438,0.011,-0.014,0.014
-0.263,-0.043,10.375,-0.021,-0.040,0.002
-0.072,-0.187,10.289,-0.002,-0.032,-0.014
-0.124,-0.124,10.375,0.015,-0.025,-0.004
-0.067,-0.086,10.442,0.013,-0.018,-0.017
-0.115,-0.077,10.390,0.014,-0.019,-0.014
-0.062,-0.110,10.414,0.020,-0.039,-0.012
-0.067,-0.072,10.356,0.022,-0.023,-0.013
-0.072,-0.067,10.356,0.014,-0.020,-0.011
-0.096,-0.077,10.327,0.013,-0.020,-0.003
-0.062,-0.105,10.385,0.019,-0.018,-0.017
-0.077,-0.101,10.347,0.017,-0.026,-0.010
-0.077,-0.096,10.375,0.020,-0.017,-0.002
