accX,accY,accZ,gyroX,gyroY,gyroZ
-0.326,2.365,9.480,-0.104,-0.275,0.094
-1.221,1.824,9.442,-0.512,-0.056,-0.469
-0.393,1.125,9.729,-0.889,-0.456,-0.285
0.388,0.551,10.447,-1.592,-0.119,-0.447
2.471,-1.551,21.518,-2.221,-0.760,-0.738
0.345,-7.484,17.419,7.738,1.576,-0.383
-0.057,-1.911,0.559,6.921,0.940,0.356
0.014,-0.211,-1.079,3.161,-0.244,0.349
-0.675,2.619,-2.017,-3.719,4.815,0.507
-0.891,1.149,20.330,-5.496,-0.124,2.171
-0.469,3.467,11.917,-0.598,-1.651,-0.734
1.839,-0.632,19.545,-1.773,-0.373,-0.289
1.044,0.484,11.031,1.317,1.169,-0.103
-0.148,1.063,9.025,0.814,0.603,-0.131
-0.551,1.413,9.667,0.297,-0.050,0.036
-0.302,1.762,10.241,0.312,-0.132,0.042
-0.915,1.911,10.069,0.150,0.150,0.135
-0.436,2.212,9.849,0.145,-0.052,0.099
-0.321,2.016,10.074,0.030,-0.026,-0.013
-0.426,1.963,10.418,0.183,-0.299,-0.076
-0.785,2.466,9.839,-0.095,0.069,-0.070
-0.144,2.270,10.145,0.015,-0.149,-0.219
-0.091,2.413,10.031,0.009,-0.131,-0.091
-0.268,2.193,9.901,0.083,-0.175,-0.033
0.096,2.207,10.198,0.099,-0.141,-0.064
0.034,2.361,9.901,0.071,-0.136,-0.081
-0.120,2.169,10.241,0.046,-0.023,-0.009
0.048,2.452,9.901,-0.013,-0.045,-0.025
0.086,2.231,10.327,-0.078,-0.023,-0.068
0.158,2.313,10.117,0.071,-0.058,-0.029
