accX,accY,accZ,gyroX,gyroY,gyroZ
0.067,2.638,10.203,0.027,-0.017,-0.032
-0.905,1.408,9.408,-0.006,-0.184,-0.924
-2.121,1.748,9.135,-0.795,0.075,-0.461
-2.069,0.924,10.639,-0.801,0.259,-0.395
-0.656,1.556,12.339,-0.691,-0.307,-0.270
-3.994,-3.960,39.225,1.641,-0.893,-1.180
-0.072,-1.355,0.391,6.013,0.585,0.301
-0.110,-1.307,0.597,5.749,0.874,0.755
0.603,2.600,-1.687,-3.757,-2.729,-0.766
-2.073,1.575,-1.232,-6.607,5.118,-0.478
3.428,4.554,12.147,-0.126,-0.823,1.681
4.386,1.427,20.431,-1.443,-0.594,-0.026
1.164,2.064,10.026,2.090,0.756,-0.828
-0.263,0.493,9.513,0.297,0.370,-0.246
-0.057,1.480,9.461,-0.227,-0.016,0.038
-0.244,1.508,9.600,0.025,-0.240,-0.150
-0.034,1.437,10.739,-0.160,-0.169,0.004
0.570,1.609,10.442,0.198,-0.010,0.005
0.038,1.638,9.849,0.000,0.178,0.022
0.259,1.595,10.457,0.039,0.037,0.027
0.187,1.585,10.323,0.113,-0.013,-0.048
0.235,1.604,10.270,0.014,0.079,0.001
0.101,1.690,10.083,0.049,-0.006,-0.037
0.101,1.595,10.337,0.045,-0.021,-0.022
0.034,1.676,10.342,-0.028,0.006,-0.004
0.192,1.628,10.169,0.034,-0.010,-0.005
0.010,1.633,10.155,-0.027,-0.013,0.018
-0.034,1.609,10.198,0.056,-0.080,0.015
-0.010,1.523,10.069,0.039,-0.124,0.117
-0.062,1.508,10.308,-0.077,-0.001,0.187
