accX,accY,accZ,gyroX,gyroY,gyroZ
-0.127,-0.064,9.911,0.040,0.006,-0.002
-0.127,-0.064,9.911,0.040,0.006,-0.002
-0.127,-0.064,9.911,-0.591,0.130,0.087
-0.019,0.517,7.644,-1.274,-0.268,-0.298
0.192,-0.671,9.445,-0.800,-0.054,0.161
-0.057,-1.437,8.238,-2.188,-0.272,0.084
0.383,-2.644,6.974,-2.485,-1.164,-0.119
3.084,-8.046,7.433,-2.994,-1.239,-0.669
2.720,-7.165,8.602,-0.630,-0.830,-1.068
3.889,-11.763,7.165,-1.938,-2.394,0.778
2.088,-12.089,10.786,0.352,-0.129,1.460
0.134,-0.766,1.264,1.663,-0.781,1.415
0.134,-0.766,1.264,1.730,-0.601,1.370
-0.134,-0.330,0.652,2.080,-0.026,1.323
0.523,-4.647,21.651,4.907,-0.239,0.881
-0.206,-1.458,10.315,-1.152,-0.268,0.022
-0.022,0.722,12.743,0.337,0.070,0.010
-0.079,-0.098,9.931,0.031,-0.014,-0.002
-0.120,-0.148,10.010,0.055,-0.015,0.002
-0.027,-0.035,9.936,0.078,-0.036,-0.003
0.004,0.096,10.020,-0.004,-0.004,-0.002
0.011,0.068,9.952,0.007,-0.001,0.002
0.019,0.003,9.960,0.027,-0.022,-0.000
0.025,0.123,9.980,0.015,-0.013,-0.001
0.018,0.031,9.999,-0.027,0.012,-0.003
-0.025,-0.113,10.121,-0.051,0.044,0.005
-0.016,0.057,9.996,-0.084,0.077,0.005
-0.174,-0.123,9.957,-0.070,0.088,0.006
-0.181,-0.110,10.031,-0.048,0.070,0.005
-0.108,0.179,9.831,-0.035,0.018,-0.004
