accX,accY,accZ,gyroX,gyroY,gyroZ
-8.112,-1.020,4.256,0.023,-0.018,-0.016
-8.926,-0.924,4.189,0.295,-0.328,0.156
-9.400,-0.680,4.634,0.202,-0.395,0.185
-11.966,-0.311,6.229,0.186,-0.195,0.182
-30.536,0.953,8.005,0.580,0.976,0.766
-0.206,-0.010,0.727,1.976,2.650,-0.244
-0.196,0.010,0.578,2.022,2.659,-0.053
-0.153,0.014,0.573,1.940,3.000,0.385
-0.215,0.019,0.468,1.702,3.171,0.798
-0.235,0.067,0.224,1.482,3.426,0.986
-0.350,0.000,-0.097,0.865,4.029,1.291
-0.402,-0.038,-0.202,0.389,4.186,1.366
-0.388,-0.153,-0.279,-0.722,3.700,1.239
-0.345,0.048,-0.059,0.379,-0.311,1.362
0.474,-0.340,-7.907,0.109,-0.412,0.009
0.934,-0.067,-9.549,0.017,0.005,-0.002
0.589,0.048,-9.042,0.018,-0.019,-0.005
0.608,-0.091,-9.286,0.009,-0.026,-0.001
0.642,-0.005,-9.214,0.004,-0.016,-0.009
0.642,0.005,-9.224,0.006,-0.028,-0.020
0.642,-0.062,-9.195,0.019,-0.028,-0.015
0.632,-0.019,-9.200,0.011,-0.022,-0.014
0.642,-0.072,-9.137,0.011,-0.029,-0.010
0.594,-0.024,-9.185,0.020,-0.034,-0.007
0.632,-0.062,-9.161,0.026,-0.021,-0.003
0.666,-0.034,-9.200,0.013,-0.022,-0.007
0.613,-0.115,-9.224,0.006,-0.021,-0.003
0.656,-0.077,-9.200,0.014,-0.026,-0.011
0.622,-0.062,-9.200,0.012,-0.015,-0.005
0.560,-0.124,-9.367,0.015,-0.046,-0.017
