accX,accY,accZ,gyroX,gyroY,gyroZ
-0.345,9.754,0.952,0.014,-0.019,-0.006
-0.412,9.821,1.158,-0.431,-0.469,-0.278
0.388,7.705,-0.571,-3.001,-1.429,-0.564
0.350,-0.527,-0.528,-12.746,-2.668,-3.137
-0.670,-10.654,1.038,-15.232,-0.369,-3.086
-2.720,-11.679,0.760,-13.744,5.736,-5.405
-6.584,-6.986,0.885,-2.109,14.561,-11.682
-1.302,-4.726,0.444,7.929,12.014,-10.166
-0.096,-1.585,5.247,-0.935,-6.126,3.908
0.230,1.101,-5.244,0.096,-0.061,-0.020
0.340,0.752,-8.759,0.005,0.014,-0.013
-0.029,0.426,-9.401,0.021,-0.026,-0.009
0.187,0.479,-9.205,0.027,-0.017,-0.009
0.196,0.469,-9.209,0.016,-0.016,-0.016
0.168,0.479,-9.195,0.010,-0.021,-0.014
0.148,0.522,-9.166,0.012,-0.019,-0.011
0.129,0.498,-9.185,0.003,-0.007,-0.019
0.148,0.460,-9.185,0.007,-0.021,-0.004
0.115,0.493,-9.252,0.016,-0.020,-0.004
0.105,0.479,-9.157,0.023,-0.020,-0.030
0.124,0.508,-9.181,0.013,-0.028,-0.003
0.163,0.503,-9.161,0.011,-0.019,-0.010
0.120,0.469,-9.166,0.015,-0.010,0.000
0.139,0.555,-9.147,0.011,-0.022,-0.016
0.139,0.455,-9.166,0.015,-0.025,-0.013
0.110,0.445,-9.243,0.025,-0.019,-0.016
0.196,0.532,-9.157,0.027,-0.021,-0.016
0.120,0.488,-9.262,0.025,-0.023,-0.009
0.134,0.283,-9.343,0.012,-0.018,-0.001
0.091,0.407,-9.099,0.023,-0.028,0.002
