accX,accY,accZ,gyroX,gyroY,gyroZ
-0.123,0.214,9.984,-0.001,0.000,0.000
-0.123,0.214,9.984,-0.001,0.000,0.000
-0.123,0.214,9.984,0.118,-0.714,0.075
-4.406,1.992,8.851,-0.409,-1.194,0.136
-1.648,-2.031,7.702,-2.627,-1.380,0.420
-0.038,-2.778,6.590,-0.746,-0.697,0.818
1.111,-5.211,7.012,-3.186,-2.040,0.226
1.303,-8.851,13.526,-4.364,-2.425,-0.441
2.261,-6.016,13.468,-0.433,-2.214,-0.463
0.383,-0.843,0.996,1.123,-0.195,-0.012
-0.268,0.000,0.038,1.119,-0.200,-0.032
-0.097,-0.235,1.129,1.415,0.464,-0.029
3.745,-4.401,5.830,4.213,3.043,-1.156
-0.109,-0.224,0.326,-1.580,-0.504,0.071
-0.295,-2.159,14.358,3.178,0.045,0.134
-0.648,-0.186,9.520,0.301,-0.316,0.011
-0.608,-0.221,9.926,-0.021,-0.013,-0.001
-0.548,-0.250,10.050,-0.002,-0.002,0.001
-0.593,-0.235,10.021,-0.002,-0.002,-0.002
-0.563,-0.236,9.968,-0.009,-0.005,-0.000
-0.596,-0.199,10.024,-0.000,0.001,0.000
-0.590,-0.234,10.014,0.001,-0.000,-0.000
-0.597,-0.206,9.999,-0.006,-0.004,0.000
-0.611,-0.220,10.000,-0.011,-0.005,-0.001
-0.554,-0.224,9.966,-0.005,-0.002,-0.000
-0.597,-0.224,9.953,0.003,0.001,0.001
-0.616,-0.208,9.977,0.001,0.001,0.000
-0.589,-0.235,9.978,-0.003,-0.001,-0.000
-0.577,-0.241,9.974,0.004,0.005,0.001
-0.615,-0.210,9.968,0.005,0.005,0.000
