accX,accY,accZ,gyroX,gyroY,gyroZ
-8.610,-1.010,-0.676,0.020,-0.023,-0.002
-9.227,-0.996,-0.777,0.340,-0.201,0.009
-9.491,-0.967,-0.135,0.169,-0.199,0.042
-9.716,-0.986,-0.279,0.274,-0.191,0.016
-9.787,-0.867,-0.107,0.163,-0.095,-0.034
-10.041,-0.939,0.162,0.047,0.052,-0.071
-6.728,0.206,-0.274,0.288,-0.240,1.120
-0.249,-0.244,0.578,0.166,-0.653,2.405
-0.259,-0.206,0.640,0.346,-0.823,2.384
-0.316,-0.215,0.870,0.499,-1.413,2.340
-0.345,-0.215,0.913,0.529,-2.021,2.290
-1.820,-10.027,-7.945,-18.094,-14.232,7.045
-3.788,-3.366,-11.551,2.370,12.579,-0.927
1.413,0.019,10.308,0.082,0.516,-0.010
1.360,-0.283,10.074,0.006,-0.025,-0.013
1.369,-0.388,10.203,0.025,-0.014,-0.007
1.384,-0.441,10.232,0.011,-0.032,-0.014
1.451,-0.412,10.208,0.018,-0.019,-0.014
1.403,-0.421,10.208,0.013,-0.016,-0.014
1.413,-0.402,10.155,0.025,-0.023,-0.016
1.427,-0.450,10.246,0.006,-0.027,-0.009
1.427,-0.421,10.222,0.017,-0.031,-0.011
1.413,-0.431,10.198,0.004,-0.033,-0.004
1.422,-0.421,10.212,0.022,-0.013,-0.013
1.437,-0.417,10.169,0.013,-0.016,-0.018
1.422,-0.393,10.227,0.018,-0.013,-0.011
1.451,-0.441,10.184,0.014,-0.028,0.000
1.408,-0.402,10.217,0.012,-0.014,-0.016
1.475,-0.417,10.251,0.016,-0.020,-0.012
1.465,-0.441,10.222,0.026,-0.012,-0.014
