accX,accY,accZ,gyroX,gyroY,gyroZ
-1.896,1.595,-8.596,0.015,-0.018,-0.013
-0.895,2.246,-8.587,0.389,0.992,-0.574
-0.053,1.657,-8.458,0.157,0.376,-0.294
-0.455,0.771,-8.932,0.310,-0.153,-0.438
0.010,0.235,-9.133,0.189,0.260,-0.129
0.388,0.417,-7.591,0.134,0.470,0.078
-0.268,0.072,0.478,-0.104,-1.603,0.382
-0.287,0.048,0.315,-0.014,-2.920,0.494
-0.259,0.000,0.114,0.240,-2.318,0.470
-0.220,-0.019,-0.241,0.322,-1.834,0.446
-39.227,5.267,5.199,0.473,-0.095,0.426
7.479,-2.854,1.957,-0.488,-0.924,0.610
0.383,0.062,-11.101,0.051,0.006,0.005
0.091,0.091,-8.941,0.011,-0.026,-0.001
0.187,0.105,-9.319,0.016,-0.021,-0.012
0.201,0.124,-9.286,0.018,-0.026,-0.019
0.148,0.110,-9.257,0.011,-0.023,-0.015
0.158,0.110,-9.195,0.011,-0.021,-0.001
0.144,0.101,-9.248,0.027,-0.015,-0.013
0.177,0.048,-9.267,0.019,-0.019,-0.003
0.144,0.120,-9.176,0.013,-0.016,-0.016
0.172,0.120,-9.243,0.014,-0.018,-0.017
0.211,0.110,-9.257,0.018,-0.035,-0.014
0.110,0.134,-9.219,0.004,-0.015,-0.009
0.235,0.091,-9.233,0.001,-0.017,-0.010
0.139,0.134,-9.205,0.012,-0.022,-0.017
0.168,0.096,-9.214,0.043,-0.074,-0.005
0.192,0.086,-9.013,0.010,-0.085,-0.005
0.230,0.139,-9.214,0.006,0.012,-0.004
0.249,0.086,-9.286,0.026,-0.037,-0.013
