accX,accY,accZ,gyroX,gyroY,gyroZ
0.162,0.085,9.960,0.003,0.003,-0.003
0.162,0.085,9.960,0.003,0.003,-0.003
0.162,0.085,9.960,-0.101,-0.312,0.379
-0.383,1.839,9.943,0.060,-0.083,0.028
-0.441,0.594,8.410,-0.594,-0.727,-0.161
0.881,-1.648,6.437,-3.134,-1.720,-0.160
0.632,-2.720,8.257,-2.353,-1.281,0.232
2.471,-3.793,16.476,-1.903,-1.113,0.002
4.521,-6.782,21.591,2.224,-0.173,-1.108
7.453,-13.583,14.350,8.482,1.420,-0.376
0.134,-4.617,0.402,8.497,1.523,0.768
0.134,-4.617,0.402,8.497,2.186,1.542
0.478,-4.432,0.054,7.935,4.453,3.780
1.013,-3.652,0.494,6.065,6.400,5.346
0.971,-3.072,1.004,-0.484,8.478,7.019
-0.275,-2.739,0.019,-4.115,7.142,6.207
1.870,-0.908,-2.579,-0.997,0.179,0.062
-0.124,-0.126,0.344,-1.182,0.557,-0.092
-0.611,-0.919,-3.860,-1.337,0.872,-0.025
0.201,-0.139,-10.462,0.005,-0.016,0.001
-0.238,-0.320,-9.290,-0.004,-0.001,0.000
-0.165,-0.225,-9.298,0.005,-0.001,-0.003
-0.121,-0.322,-9.337,0.003,-0.002,0.000
-0.325,-0.312,-9.350,-0.001,0.002,-0.001
-0.237,-0.294,-9.358,-0.002,0.003,-0.001
-0.226,-0.311,-9.365,0.001,0.000,-0.000
-0.245,-0.297,-9.355,0.002,-0.002,0.000
-0.217,-0.285,-9.355,0.001,-0.001,0.000
-0.248,-0.299,-9.365,0.000,0.002,-0.001
-0.214,-0.304,-9.350,-0.000,-0.000,-0.001
