accX,accY,accZ,gyroX,gyroY,gyroZ
0.086,10.362,2.551,0.153,-0.251,-0.096
0.153,9.831,1.871,0.240,-0.018,-0.211
-0.067,9.969,1.608,0.121,-0.043,-0.013
1.111,7.355,3.571,-0.042,-0.042,0.123
0.843,4.477,1.368,0.322,-0.193,-0.117
-0.077,0.019,0.578,0.696,0.529,-0.542
-0.110,0.014,0.535,0.701,0.505,-0.536
-0.115,0.024,0.516,0.782,0.494,-0.510
-0.115,0.101,0.358,1.115,0.755,-0.471
-0.512,-10.511,0.889,15.852,3.776,6.832
0.062,-1.384,0.588,-6.633,-3.374,1.256
0.632,0.249,-10.172,0.010,-0.009,-0.015
0.464,0.603,-9.128,0.017,-0.029,0.001
0.484,0.512,-9.190,0.016,-0.015,-0.009
0.460,0.508,-9.195,0.011,-0.017,-0.005
0.469,0.555,-9.190,0.014,-0.026,-0.013
0.484,0.527,-9.147,0.018,-0.029,-0.021
0.517,0.603,-9.281,0.017,-0.030,-0.009
0.479,0.565,-9.147,0.011,-0.021,-0.011
0.488,0.555,-9.161,0.018,-0.033,-0.005
0.503,0.532,-9.200,0.010,-0.017,-0.014
0.484,0.551,-9.200,0.025,-0.017,0.001
0.484,0.532,-9.205,0.009,-0.018,-0.013
0.464,0.536,-9.262,0.013,-0.028,-0.019
0.498,0.541,-9.147,0.009,-0.013,-0.011
0.522,0.536,-9.224,0.006,-0.019,-0.011
0.474,0.541,-9.181,0.013,-0.016,-0.010
0.493,0.536,-9.243,0.022,-0.023,-0.015
0.493,0.503,-9.209,0.011,-0.020,-0.005
0.498,0.522,-9.181,0.019,-0.013,-0.021
