accX,accY,accZ,gyroX,gyroY,gyroZ
0.101,9.337,4.351,-0.030,0.081,-0.053
0.105,9.237,3.068,-0.043,0.013,-0.082
-0.034,9.021,4.141,-0.098,0.124,-0.116
-0.053,10.391,3.667,0.077,0.037,-0.074
0.215,23.679,6.961,0.095,-0.193,-0.235
-4.353,16.410,-0.849,2.139,-1.098,2.225
-0.871,-1.140,0.588,-0.285,-4.158,5.413
-0.939,-1.508,0.559,2.370,-3.478,5.090
-0.781,-1.671,0.535,3.287,-2.602,4.796
-0.575,-1.590,0.497,4.074,-0.527,4.428
-0.460,-1.350,0.712,3.653,1.611,4.645
-0.541,-1.298,1.172,3.111,2.343,4.936
-0.622,-1.355,1.651,2.050,1.612,5.351
0.029,-1.566,1.627,-3.812,6.429,-1.375
2.088,-0.397,0.985,5.708,-2.224,-3.226
-0.235,-0.129,10.270,0.128,-0.393,-0.013
-0.297,0.014,10.150,0.010,-0.033,-0.010
-0.201,0.134,10.404,0.010,-0.037,-0.007
-0.354,0.043,10.351,0.006,-0.021,-0.005
-0.263,0.043,10.332,0.020,-0.010,-0.023
-0.249,0.043,10.351,0.013,-0.020,0.004
-0.239,-0.019,10.347,0.010,-0.022,-0.016
-0.263,0.010,10.385,0.012,-0.021,-0.013
-0.225,0.053,10.380,0.012,-0.020,-0.012
-0.249,0.029,10.303,0.016,-0.014,-0.013
-0.220,0.019,10.327,-0.001,-0.017,-0.016
-0.287,0.034,10.327,0.014,-0.009,-0.012
-0.254,0.077,10.337,0.018,-0.026,-0.002
-0.278,0.019,10.342,0.017,-0.023,-0.011
-0.263,0.105,10.390,0.015,-0.031,-0.026
