accX,accY,accZ,gyroX,gyroY,gyroZ
-0.555,10.108,2.805,0.031,0.013,-0.009
-0.397,9.716,1.454,0.682,0.268,0.153
-0.804,9.802,1.656,-0.004,-0.064,-0.310
-0.407,9.835,1.809,0.101,0.164,-0.374
-0.723,9.203,1.435,-0.042,0.856,-0.109
-0.833,7.585,0.526,0.437,-0.104,-0.510
-0.134,-0.005,0.583,0.488,0.314,-0.621
-0.158,0.034,0.487,0.480,0.254,-0.622
-0.148,0.014,0.478,0.504,0.255,-0.601
-0.177,0.067,0.425,0.602,0.411,-0.602
-0.350,-3.026,0.669,8.338,3.381,4.648
-3.658,0.105,0.621,6.800,5.708,5.988
-0.043,0.871,-8.869,-0.080,-0.014,-0.018
0.024,0.287,-9.334,0.007,-0.030,-0.015
-0.096,0.464,-9.214,0.020,-0.027,-0.021
-0.091,0.431,-9.214,0.011,-0.019,-0.020
-0.048,0.402,-9.205,0.013,-0.015,-0.002
-0.062,0.450,-9.224,0.013,-0.018,-0.022
-0.024,0.479,-9.257,0.002,-0.016,-0.019
-0.086,0.321,-9.200,0.030,-0.012,-0.009
-0.091,0.426,-9.190,0.017,-0.013,-0.006
-0.105,0.407,-9.205,0.012,-0.016,-0.009
-0.038,0.436,-9.214,0.011,-0.017,-0.015
-0.072,0.517,-9.219,0.003,-0.022,-0.023
-0.067,0.479,-9.228,0.017,-0.021,-0.009
-0.072,0.402,-9.272,0.007,-0.022,-0.016
-0.067,0.359,-9.238,0.012,-0.022,-0.018
-0.057,0.484,-9.200,0.009,-0.021,-0.016
-0.081,0.469,-9.166,0.007,-0.032,-0.012
0.129,0.383,-9.832,-0.005,-0.045,0.001
