accX,accY,accZ,gyroX,gyroY,gyroZ
-9.572,3.850,6.463,-1.072,-3.541,-1.860
-6.340,1.369,3.078,0.822,1.793,0.119
-3.745,0.283,-0.830,-0.333,0.797,-0.192
-3.711,1.776,-0.188,-0.476,-0.323,-0.103
-5.478,1.705,4.222,-1.849,-1.688,-0.537
-7.221,0.134,7.335,-1.644,-1.532,-1.430
-13.211,-1.556,13.660,-0.225,-2.287,-1.535
-16.826,-2.715,15.250,0.766,1.324,0.809
-11.205,-1.647,10.864,1.625,2.439,1.399
-5.717,0.819,5.922,1.708,3.231,1.006
-2.452,1.188,-0.413,1.907,2.431,1.231
-3.103,1.322,-1.174,0.248,0.355,-0.201
-4.741,1.245,-0.983,-0.362,-0.874,0.033
-2.686,0.057,2.642,-1.219,-2.124,-0.681
-3.831,-0.613,7.478,-2.887,-2.973,-0.847
-14.949,-3.175,18.712,-2.643,-2.273,-1.937
-15.208,-0.895,15.537,0.111,-0.693,0.504
-13.709,-3.247,13.947,0.604,2.650,0.851
-7.796,-2.686,8.848,0.721,3.759,1.995
0.536,-0.871,2.944,0.097,2.788,2.527
0.723,0.335,-2.419,0.731,0.251,0.060
-1.987,1.796,-1.505,-0.642,-0.642,0.018
-3.026,-0.316,2.489,-2.273,-1.941,-0.949
-9.036,-1.949,9.753,-1.479,-3.373,-3.062
-20.226,-1.537,17.122,-0.176,-0.527,-0.441
-13.321,-2.107,14.426,1.289,1.125,1.627
-8.011,-0.699,8.991,1.346,2.789,1.784
-3.567,0.283,3.188,1.501,2.186,1.425
-0.397,1.456,-1.533,0.718,1.030,0.825
-0.522,1.293,-1.677,-0.845,-0.198,-0.741
