accX,accY,accZ,gyroX,gyroY,gyroZ
-1.120,5.669,9.303,-1.222,-0.542,-0.268
-2.318,7.230,10.667,-0.769,0.467,0.797
-1.920,9.931,11.347,0.781,-0.195,0.032
-1.614,7.896,8.532,2.705,-0.229,-0.593
-1.815,4.721,3.542,2.847,0.063,-0.711
-1.935,0.690,-0.806,1.364,0.283,-0.720
-4.137,-1.642,-1.601,-2.589,-0.546,0.551
1.738,4.788,9.307,-3.906,-1.713,3.320
2.653,18.862,9.006,-1.315,-1.282,1.119
3.587,17.468,12.118,2.202,0.297,-0.415
2.902,12.373,8.106,2.770,-0.114,-0.904
0.680,7.666,6.013,3.804,0.486,-2.519
-3.074,1.523,0.415,1.573,0.603,-2.292
-3.625,-0.579,-1.553,0.872,0.177,-0.624
-3.931,-1.494,-1.294,-1.180,-0.345,1.403
0.527,3.955,1.665,-2.871,-0.341,2.798
3.721,15.663,10.380,-2.653,-2.055,2.784
5.981,19.637,12.698,-1.360,0.264,0.833
4.966,14.782,8.790,1.499,0.180,-0.549
2.212,9.036,8.326,2.242,0.074,-2.368
-0.991,3.773,2.632,2.395,1.066,-2.012
-2.246,0.852,-1.476,1.743,0.957,-1.278
-4.266,-0.656,-1.648,-0.931,-0.646,-0.051
-0.833,4.482,0.315,-2.090,-1.367,1.645
0.560,9.280,5.898,-2.965,-1.709,1.155
2.064,17.463,10.471,-0.904,0.356,1.764
4.013,17.583,7.426,1.670,0.413,-0.517
3.385,14.293,6.698,1.513,0.385,-1.704
0.287,7.484,4.984,2.396,0.660,-2.733
-2.811,0.958,0.229,2.547,1.070,-2.487
