accX,accY,accZ,gyroX,gyroY,gyroZ
-1.116,-0.881,11.189,,,
-0.627,-0.283,11.893,0.609,-0.683,-0.989
-1.077,1.494,11.041,0.403,0.135,-0.605
-1.240,3.170,15.643,1.725,0.118,-0.751
-0.948,3.026,12.319,2.421,0.078,-0.620
-3.606,0.972,2.618,2.207,-0.650,0.489
-3.314,0.388,2.508,0.223,0.011,-0.321
-1.810,0.833,5.769,-1.737,-1.070,0.532
0.656,-0.086,10.050,-2.168,-0.926,1.171
1.944,0.326,11.764,-2.708,-0.215,1.258
2.883,-0.431,17.687,-1.386,-1.426,0.780
2.777,-0.297,18.683,1.058,0.525,0.474
1.073,-0.747,14.206,1.768,1.009,0.378
0.575,-0.263,11.208,2.283,0.203,-0.228
0.172,0.953,5.673,1.606,1.992,0.241
-1.226,1.963,2.331,1.072,1.233,0.502
-1.207,2.543,2.958,-0.521,0.104,0.497
-0.278,1.652,6.865,-1.563,-0.704,0.324
-0.560,0.441,10.117,-2.102,-0.990,-0.034
1.743,-0.599,15.101,-2.153,-1.040,0.376
1.891,-0.359,16.188,-0.668,-0.537,-0.487
0.943,-0.479,15.231,0.328,0.494,-0.004
0.278,-1.106,14.273,1.551,0.798,-0.092
0.225,-0.397,10.859,2.072,1.137,0.037
-0.661,1.063,7.478,2.186,1.026,-0.025
-2.069,1.978,3.925,1.042,0.164,0.085
-0.579,3.036,4.026,-0.472,-0.001,0.293
-0.225,1.882,5.702,-1.147,-0.697,0.172
0.244,-0.048,9.714,-1.904,-1.012,0.456
0.977,-0.354,13.004,-2.120,-1.308,0.141
