accX,accY,accZ,gyroX,gyroY,gyroZ
8.754,-3.687,5.551,2.103,-1.338,-0.507
8.754,-3.687,5.551,2.103,-1.338,-0.507
8.754,-3.687,5.551,-1.385,-0.304,0.156
5.556,-3.104,6.820,-1.312,-0.485,0.640
6.744,-2.395,7.702,-0.796,-0.842,0.890
9.215,-2.395,8.889,-0.167,-0.021,-0.163
8.161,-3.506,8.545,0.820,0.096,0.213
6.820,-3.506,6.744,1.890,-0.731,0.252
7.721,-4.579,7.932,2.102,-0.401,-0.079
6.897,-5.173,5.115,1.656,-0.092,-0.877
6.648,-4.828,4.617,0.800,-0.368,-0.988
6.954,-5.939,5.556,-1.306,-0.156,-0.407
4.867,-2.568,5.265,-1.259,0.276,0.595
7.826,-3.965,5.584,-1.093,-0.578,0.642
5.897,-3.130,5.695,-1.348,0.655,-0.227
6.910,-2.800,5.344,-0.767,0.264,1.034
9.461,-2.599,6.317,-1.328,-0.375,0.111
8.779,-2.671,7.332,-0.792,0.933,-0.365
6.959,-1.862,6.235,0.595,0.158,-0.630
9.031,-3.702,8.171,1.156,-0.924,-0.330
8.638,-3.067,6.708,1.632,0.339,-1.785
6.346,-4.884,4.769,1.608,0.314,-1.597
6.042,-4.013,4.105,0.024,-0.039,-0.786
6.234,-4.071,4.959,-0.439,0.007,-0.219
7.984,-5.514,6.415,-1.393,-0.352,1.109
7.542,-2.834,5.949,-2.110,0.261,0.184
8.266,-4.051,7.389,-1.718,0.439,-0.033
6.487,-3.726,5.935,-1.885,0.352,0.503
6.567,-2.961,5.902,-0.848,0.142,0.699
8.653,-2.267,5.045,-0.781,0.288,-0.185
