accX,accY,accZ,gyroX,gyroY,gyroZ
8.363,-5.605,2.980,3.088,-1.726,0.350
8.363,-5.605,2.980,3.088,-1.726,0.350
8.363,-5.605,2.980,-0.682,-1.244,0.392
5.498,-2.510,9.675,-1.257,-2.136,0.636
5.498,-2.376,8.621,-0.715,-1.694,2.238
7.012,-3.736,9.905,-0.386,-1.368,1.599
6.207,-1.801,8.985,0.594,-0.592,0.303
5.786,-0.920,6.111,0.936,-0.434,0.689
8.123,-2.491,7.357,1.121,-0.445,-0.187
9.483,-4.617,10.039,0.842,0.538,-0.477
7.069,-4.138,5.422,0.474,0.622,-0.165
5.288,-3.544,2.797,0.093,-0.121,-0.359
5.288,-3.544,2.797,0.108,-0.553,0.280
5.082,-5.034,4.589,-0.055,-0.521,1.267
5.629,-4.845,4.953,0.740,-0.897,2.632
11.128,-2.273,3.764,-0.648,0.524,1.168
11.216,-4.082,6.977,-0.532,0.216,-0.127
8.750,-2.258,6.230,0.898,-0.808,0.141
7.453,-4.189,6.242,1.278,-1.138,-0.500
7.520,-3.138,6.300,1.343,-0.736,-0.386
6.786,-4.088,6.979,1.533,-0.699,-0.784
6.707,-4.643,6.940,0.863,-0.058,-0.696
5.927,-6.175,6.660,0.153,0.205,-0.267
5.395,-5.261,5.065,0.052,0.442,1.519
8.769,-5.234,3.779,-0.711,0.138,0.987
7.938,-4.174,3.727,-0.469,0.448,1.368
8.425,-3.541,4.732,-0.464,-0.094,1.210
8.246,-1.778,4.772,0.089,0.147,0.783
10.504,-2.570,5.840,0.869,-0.917,0.406
9.696,-3.906,8.178,0.450,-0.537,-0.913
